,model_name,year
0,CVO LIMITED,2017 - Present
1,CVO STREET GLIDE,2017 - Present
2,CVO PRO STREET BREAKOUT,2017 - Present
3,CVO Street Glide,2015 - 2016
4,CVO Limited,2015 - 2016
5,CVO Road Glide Ultra,2015 - 2016
6,CVO Street Glide,2014 - 2015
7,CVO Limited,2014 - 2015
8,CVO Road Glide Ultra,2014 - 2015
9,CVO Softail Deluxe,2014 - 2015
10,CVO Road King,2013 - 2014
11,CVO Breakout,2013 - 2014
12,CVO Softail Deluxe,2013 - 2014
13,CVO Limited,2013 - 2014
14,CVO Road King,2012 - 2013
15,CVO Breakout,2012 - 2013
16,CVO Road Glide Ultra,2012 - 2013
17,CVO Electra Glide Ultra Classic,2012 - 2013
18,CVO Road King 110th Anniversary,2012 - 2013
19,Road Glide Custom 110th Anniversary,2012 - 2013
20,CVO Electra Glide Ultra Classic 110th Anniversary,2012 - 2013
21,CVO Road Glide Custom,2011 - 2012
22,CVO Street Glide,2011 - 2012
23,CVO Softail Convertible,2011 - 2012
24,CVO Ultra Classic Electra Glide,2011 - 2012
25,CVO Road Glide Ultra,2010 - 2011
26,CVO Ultra Classic Electra Glide,2010 - 2011
27,CVO Street Glide,2010 - 2011
28,CVO Softail Convertible,2010 - 2011
29,CVO Fat Bob,2009 - 2010
30,CVO Ultra Classic Electra Glide,2009 - 2010
31,CVO Ultra Classic Electra Glide Dark Side Limited Edition,2009 - 2010
32,CVO Street Glide,2009 - 2010
33,CVO Softail Convertible,2009 - 2010
34,CVO Ultra Classic Electra Glide,2008 - 2009
35,CVO Road Glide,2008 - 2009
36,CVO Fat Bob,2008 - 2009
37,CVO Softail Springer,2008 - 2009
38,CVO Road King,2007 - 2008
39,CVO Dyna,2007 - 2008
40,CVO Softail Springer,2007 - 2008
41,CVO Ultra Classic Electra Glide,2007 - 2008
42,CVO Road King,2006 - 2007
43,CVO Ultra Classic Electra Glide,2006 - 2007
44,CVO Dyna,2006 - 2007
45,CVO Softail Springer,2006 - 2007
46,CVO Screamin Eagle V-Rod,2005 - 2006
47,CVO Ultra Classic Electra Glide,2005 - 2006
48,CVO Fat Boy,2005 - 2006
49,CVO Screamin' Eagle Electra Glide,2003 - 2004
50,CVO Deuce,2003 - 2004
51,CVO Road King,2002 - 2003
52,CVO Deuce,2002 - 2003
53,CVO Road King,2001 - 2002
