,model_name,year
0,Street Bob,2015 - 2016
1,Low Rider,2015 - 2016
2,Wide Glide,2015 - 2016
3,Fat Bob,2015 - 2016
4,Switchback,2015 - 2016
5,Street Bob,2014 - 2015
6,Low Rider,2014 - 2015
7,Wide Glide,2014 - 2015
8,Fat Bob,2014 - 2015
9,Switchback,2014 - 2015
10,Street Bob,2013 - 2014
11,Low Rider,2013 - 2014
12,Wide Glide,2013 - 2014
13,Fat Bob,2013 - 2014
14,Switchback,2013 - 2014
15,Street Bob,2012 - 2013
16,Super Glide Custom,2012 - 2013
17,Fat Bob,2012 - 2013
18,Wide Glide,2012 - 2013
19,Switchback,2012 - 2013
20,Super Glide Custom 110th Anniversary,2012 - 2013
21,Switchback,2011 - 2012
22,Super Glide Custom,2011 - 2012
23,Street Bob,2011 - 2012
24,Fat Bob,2011 - 2012
25,Wide Glide,2011 - 2012
26,Super Glide Custom,2010 - 2011
27,Street Bob,2010 - 2011
28,Fat Bob,2010 - 2011
29,Wide Glide,2010 - 2011
30,Super Glide,2009 - 2010
31,Street Bob,2009 - 2010
32,Super Glide Custom,2009 - 2010
33,Fat Bob,2009 - 2010
34,Wide Glide,2009 - 2010
35,Super Glide,2008 - 2009
36,Street Bob,2008 - 2009
37,Super Glide Custom,2008 - 2009
38,Fat Bob,2008 - 2009
39,Low Rider,2008 - 2009
40,Wide Glide 105th Anniversary,2007 - 2008
41,Fat Bob,2007 - 2008
42,Super Glide,2007 - 2008
43,Street Bob,2007 - 2008
44,Super Glide Custom,2007 - 2008
45,Super Glide Custom 105th Anniversary,2007 - 2008
46,Low Rider,2007 - 2008
47,Wide Glide,2006 - 2007
48,Low Rider,2006 - 2007
49,Super Glide,2006 - 2007
50,Super Glide Custom,2006 - 2007
51,Street Bob,2006 - 2007
52,Super Glide,2005 - 2006
53,Super Glide Custom,2005 - 2006
54,35th Anniversary Super Glide,2005 - 2006
55,Street Bob,2005 - 2006
56,Low Rider,2005 - 2006
57,Wide Glide,2005 - 2006
58,Wide Glide,2004 - 2005
59,Low Rider,2004 - 2005
60,Super Glide Custom,2004 - 2005
61,Super Glide,2004 - 2005
62,Super Glide Sport,2004 - 2005
63,Super Glide,2003 - 2004
64,Super Glide Sport,2003 - 2004
65,Low Rider,2003 - 2004
66,Wide Glide,2003 - 2004
67,Super Glide,2002 - 2003
68,Super Glide Sport,2002 - 2003
69,Super Glide T-Sport,2002 - 2003
70,Low Rider,2002 - 2003
71,Wide Glide,2002 - 2003
72,Super Glide,2001 - 2002
73,Super Glide Sport,2001 - 2002
74,Super Glide T-Sport,2001 - 2002
75,Low Rider,2001 - 2002
76,Wide Glide,2001 - 2002
77,Super Glide,2000 - 2001
78,Super Glide Sport,2000 - 2001
79,Super Glide T-Sport,2000 - 2001
80,Low Rider,2000 - 2001
81,Wide Glide,2000 - 2001
82,Super Glide,1999 - 2000
83,Super Glide Sport,1999 - 2000
84,Low Rider,1999 - 2000
85,Wide Glide,1999 - 2000
86,Convertible,1999 - 2000
87,Super Glide,1998 - 1999
88,Low Rider,1998 - 1999
89,Wide Glide,1998 - 1999
90,Wide Glide,1997 - 1998
91,Super Glide,1997 - 1998
92,Low Rider,1997 - 1998
93,Low Rider,1996 - 1997
94,Super Glide,1996 - 1997
95,Super Glide Custom,1995 - 1996
96,Super Glide,1995 - 1996
97,Low Rider,1995 - 1996
98,Super Glide,1994 - 1995
99,Low Rider,1994 - 1995
100,Super Glide,1993 - 1994
101,Low Rider,1993 - 1994
102,Low Rider,1992 - 1993
103,Super Glide,1992 - 1993
104,Sturgis,1991 - 1992
105,Super Glide,1991 - 1992
106,Super Glide,1990 - 1991
107,Low Rider,1981 - 1982
108,Low Rider,1980 - 1981
109,Super Glide,1980 - 1981
110,Low Rider,1979 - 1980
111,Super Glide,1979 - 1980
112,Low Rider,1978 - 1979
113,Super Glide,1978 - 1979
114,Low Rider,1977 - 1978
115,Super Glide,1977 - 1978
116,Low Rider,1976 - 1977
117,Super Glide,1976 - 1977
118,Super Glide,1975 - 1976
119,Super Glide,1974 - 1975
120,Super Glide,1973 - 1974
121,Super Glide,1972 - 1973
122,Super Glide,1971 - 1972
123,Super Glide,1970 - 1971
