,model_name,year
0,Electra Glide,2019 - Present
1,Electra Glide Ultra Classic,2015 - 2016
2,Electra Glide Ultra Classic Low,2014 - 2015
3,Electra Glide Ultra Limited,2014 - 2015
4,Electra Glide Ultra Classic,2014 - 2015
5,Electra Glide Ultra Limited,2013 - 2014
6,Electra Glide Ultra Classic,2013 - 2014
7,Electra Glide Classic,2012 - 2013
8,Electra Glide Ultra Classic,2012 - 2013
9,Electra Glide Ultra Limited,2012 - 2013
10,Electra Glide Ultra Limited 110th Anniversary,2012 - 2013
11,Electra Glide Police,2012 - 2013
12,Electra Glide Fire/Rescue,2012 - 2013
13,Electra Glide Classic,2011 - 2012
14,Electra Glide Ultra Limited,2011 - 2012
15,Electra Glide Ultra Classic,2011 - 2012
16,Electra Glide Classic,2010 - 2011
17,Electra Glide Ultra Limited,2010 - 2011
18,Electra Glide Ultra Classic,2010 - 2011
19,Electra Glide Ultra Classic,2009 - 2010
20,Electra Glide Classic,2009 - 2010
21,Electra Glide Ultra Limited,2009 - 2010
22,Electra Glide Standard,2008 - 2009
23,Electra Glide Classic,2008 - 2009
24,Electra Glide Ultra Classic,2008 - 2009
25,Electra Glide Standard,2007 - 2008
26,Electra Glide Classic,2007 - 2008
27,Electra Glide Ultra Classic,2007 - 2008
28,Electra Glide Standard,2006 - 2007
29,Electra Glide Classic,2006 - 2007
30,Electra Glide Ultra Classic,2006 - 2007
31,Electra Glide Standard,2005 - 2006
32,Electra Glide Classic,2005 - 2006
33,Electra Glide Ultra Classic,2005 - 2006
34,Electra Glide Standard,2004 - 2005
35,Electra Glide Classic,2004 - 2005
36,Electra Glide Ultra Classic,2004 - 2005
37,Electra Glide Ultra Classic,2003 - 2004
38,Electra Glide Standard,2003 - 2004
39,Electra Glide Classic,2003 - 2004
40,Electra Glide Ultra Classic,2002 - 2003
41,Electra Glide Standard,2002 - 2003
42,Electra Glide Classic,2002 - 2003
43,Electra Glide Ultra Classic,2001 - 2002
44,Electra Glide Standard,2001 - 2002
45,Electra Glide Classic,2001 - 2002
46,Electra Glide Standard,2000 - 2001
47,Electra Glide Classic,2000 - 2001
48,Electra Glide Ultra Classic,2000 - 2001
49,Electra Glide Standard,1999 - 2000
50,Electra Glide Classic,1999 - 2000
51,Electra Glide Ultra Classic,1999 - 2000
52,Electra Glide Standard,1998 - 1999
53,Electra Glide Classic,1998 - 1999
54,Electra Glide Ultra Classic,1998 - 1999
55,Electra Glide Standard,1997 - 1998
56,Electra Glide Classic,1997 - 1998
57,Electra Glide Ultra Classic,1997 - 1998
58,Electra Glide Classic,1996 - 1998
59,Electra Glide Standard,1996 - 1997
60,Electra Glide Ultra Classic,1996 - 1997
61,Electra Glide Standard,1995 - 1996
62,Electra Glide Classic,1995 - 1996
63,Electra Glide Ultra Classic,1995 - 1996
64,Electra Glide Classic,1994 - 1995
65,Electra Glide Ultra Classic,1994 - 1995
66,Electra Glide,1993 - 1999
67,Electra Glide Classic,1993 - 1994
68,Electra Glide Ultra Classic,1993 - 1994
69,Electra Glide,1992 - 1993
70,Electra Glide Classic,1992 - 1993
71,Electra Glide,1991 - 1992
72,Electra Glide Classic,1991 - 1992
73,Electra Glide,1990 - 1991
74,Electra Glide Classic,1990 - 1991
75,Electra Glide,1989 - 1990
76,Electra Glide Classic,1989 - 1990
77,Electra Glide,1988 - 1989
78,Electra Glide Classic 85th Anniversary,1988 - 1989
79,Electra Glide Classic,1988 - 1989
80,Electra Glide,1987 - 1988
81,Electra Glide Classic,1987 - 1988
82,Electra Glide Classic,1986 - 1987
83,Electra Glide,1986 - 1987
84,Electra Glide,1985 - 1986
85,Electra Glide Classic,1985 - 1986
86,Electra Glide,1984 - 1985
87,Electra Glide Classic,1984 - 1985
88,Electra Glide Classic,1983 - 1984
89,Electra Glide,1983 - 1984
90,Electra Glide,1982 - 1983
91,Electra Glide Classic,1982 - 1983
92,Electra Glide,1981 - 1982
93,Electra Glide Classic,1981 - 1982
94,Electra Glide,1980 - 1981
95,Electra Glide Classic,1980 - 1981
96,Electra Glide Classic,1979 - 1980
97,Electra Glide,1979 - 1980
98,Electra Glide,1978 - 1979
99,Electra Glide,1977 - 1978
100,Electra Glide,1976 - 1977
101,Electra Glide,1975 - 1976
102,Electra Glide,1974 - 1975
103,Electra Glide,1973 - 1974
104,Electra Glide,1972 - 1973
105,Electra Glide,1970 - 1972
106,Electra Glide,1965 - 1969
