,model_name,year
0,Electra Glide Ultra Classic Firefighter,2012 - 2013
1,Firefighter Road King,2010 - 2011
2,Firefighter Heritage Softail Classic,2010 - 2011
3,Firefighter Ultra Classic Electra Glide,2010 - 2011
4,Firefighter Fat Boy,2010 - 2011
5,Shrine Heritage Softail Classic,2010 - 2011
6,Firefighter Heritage Softail Classic,2009 - 2010
7,Firefighter Fat Boy,2009 - 2010
8,Firefighter Road King,2009 - 2010
9,Firefighter Ultra Classic Electra Glide,2009 - 2010
10,Firefighter Heritage Softail Classic,2008 - 2009
11,Firefighter Fat Boy,2008 - 2009
12,Firefighter Road King,2008 - 2009
13,Firefighter Ultra Classic Electra Glide,2008 - 2009
14,Firefighter Heritage Softail Classic,2007 - 2008
15,Firefighter Fat Boy,2007 - 2008
16,Firefighter Road King,2007 - 2008
17,Firefighter Ultra Classic Electra Glide,2007 - 2008
18,Firefighter Road King Special Edition,2002 - 2003
19,Firefighter Road King Special Edition,2001 - 2002
20,Firefighter Ultra Classic Electra Glide Special Edition,2001 - 2002
