,model_name,year
0,Electra Glide Ultra Classic Peace Officer,2012 - 2013
1,Peace Officer Ultra Classic Electra Glide,2010 - 2011
2,Peace Officer Heritage Softail Classic,2010 - 2011
3,Peace Officer Road King,2010 - 2011
4,Peace Officer Fat Boy,2010 - 2011
5,Peace Officer Heritage Softail Classic,2008 - 2009
6,Peace Officer Fat Boy,2008 - 2009
7,Peace Officer Road King,2008 - 2009
8,Peace Officer Ultra Classic Electra Glide,2007 - 2008
9,Peace Officer Heritage Softail Classic,2007 - 2008
10,Peace Officer Fat Boy,2007 - 2008
11,Peace Officer Road King,2007 - 2008
12,Peace Officer Ultra Classic Electra Glide,2002 - 2003
