,model_name,year
0,Police Electra Glide,2010 - 2011
1,Police Road King,2010 - 2011
2,Police Sportster,2010 - 2011
3,Police Sportster,2009 - 2010
4,Police Heritage Softail Classic,2009 - 2010
5,Police Fat Boy,2009 - 2010
6,Police Road King,2009 - 2010
7,Police Ultra Classic Electra Glide,2009 - 2010
8,Police Electra Glide,2008 - 2009
9,Police Road King,2008 - 2009
10,Police Ultra Classic Electra Glide,2008 - 2009
11,Police Electra Glide,2007 - 2008
12,Police Road King,2007 - 2008
13,Police Sportster,2007 - 2008
14,Police Road King,2002 - 2003
15,Police Road King Emergency,2002 - 2003
16,Police Electra Glide,2002 - 2003
17,Police Electra Glide Emergency,2002 - 2003
18,Dyna Defender,2002 - 2003
19,Dyna Defender Emergency,2002 - 2003
20,Police Sportster 883,2002 - 2003
21,Police Sportster 883 Emergency,2002 - 2003
