,model_name,year
0,GLIDE ULTRA,2017 - Present
1,ROAD GLIDE SPECIAL,2017 - Present
2,Road Glide Special,2015 - 2016
3,Road Glide Ultra,2015 - 2016
4,Road Glide,2014 - 2015
5,Road Glide Special,2014 - 2015
6,Road Glide Custom,2012 - 2013
7,Road Glide Ultra,2012 - 2013
8,Road Glide Custom,2011 - 2012
9,Road Glide Ultra,2011 - 2012
10,Road Glide Ultra,2010 - 2011
11,Road Glide Custom,2010 - 2011
12,Road Glide Custom,2009 - 2010
13,Road Glide,2008 - 2009
14,Road Glide,2007 - 2008
15,Road Glide,2006 - 2007
16,Road Glide,2005 - 2006
17,Road Glide Classic,2004 - 2005
18,Road Glide Standard,2004 - 2005
19,Road Glide,2004 - 2005
20,Road Glide,2003 - 2004
21,Road Glide,2002 - 2003
22,Road Glide,2001 - 2002
23,Road Glide,2000 - 2001
24,Road Glide,1999 - 2000
25,Road Glide,1998 - 1999
26,Road Glide,1997 - 1998
27,Road Glide,1996 - 1997
28,Road Glide,1995 - 1996
