,model_name,year
0,Road King,2015 - 2016
1,Road King Classic,2015 - 2016
2,Road King,2014 - 2015
3,Road King Classic,2014 - 2015
4,Road King,2013 - 2014
5,Road King Classic,2013 - 2014
6,Road King,2012 - 2013
7,Road King Classic,2012 - 2013
8,Road King 110th Aniversary,2012 - 2013
9,Road King Police,2012 - 2013
10,Road King Fire/Rescue,2012 - 2013
11,Road King Peace Officer,2012 - 2013
12,Road King Firefighter,2012 - 2013
13,Road King Shrine,2012 - 2013
14,Road King,2011 - 2012
15,Road King Classic,2011 - 2012
16,Road King,2010 - 2011
17,Road King Classic,2010 - 2011
18,Road King,2009 - 2010
19,Road King Classic,2009 - 2010
20,Road King Classic,2008 - 2009
21,Road King,2008 - 2009
22,Road King,2007 - 2008
23,Road King Classic,2007 - 2008
24,Road King Classic 105th Anniversary,2007 - 2008
25,Road King Classic,2006 - 2007
26,Road King,2006 - 2007
27,Road King Custom,2006 - 2007
28,Road King,2005 - 2006
29,Road King Custom,2005 - 2006
30,Road King Classic,2005 - 2006
31,Road King Custom,2004 - 2005
32,Road King Classic,2004 - 2005
33,Road King,2004 - 2005
34,Road King,2003 - 2004
35,Road King Custom,2003 - 2004
36,Road King Classic,2003 - 2004
37,Road King,2002 - 2003
38,Road King Classic,2002 - 2003
39,Road King,2001 - 2002
40,Road King Classic,2001 - 2002
41,Road King,2000 - 2001
42,Road King Classic,2000 - 2001
43,Road King,1999 - 2000
44,Road King Classic,1999 - 2000
45,Road King,1998 - 1999
46,Road King,1997 - 1998
47,Road King,1996 - 1997
48,Road King,1995 - 1996
49,Road King,1994 - 1995
