,model_name,year
0,Electra Glide Ultra Classic Shrine,2012 - 2013
1,Shrine Road King,2010 - 2011
2,Shrine Ultra Classic Electra Glide,2010 - 2011
3,Shrine Fat Boy,2010 - 2011
4,Shrine Heritage Softail Classic,2009 - 2010
5,Shrine Fat Boy,2009 - 2010
6,Shrine Road King,2009 - 2010
7,Shrine Ultra Classic Electra Glide,2009 - 2010
8,Shrine Heritage Softail Classic,2008 - 2009
9,Shrine Fat Boy,2008 - 2009
10,Shrine Road King,2008 - 2009
11,Shrine Ultra Classic Electra Glide,2008 - 2009
12,Shrine Heritage Softail Classic,2007 - 2008
13,Shrine Fat Boy,2007 - 2008
14,Shrine Ultra Classic Electra Glide,2007 - 2008
