,model_name,year
0,Fat Boy,2015 - 2016
1,Fat Boy Special,2015 - 2016
2,Softail Deluxe,2015 - 2016
3,Heritage Softail Classic,2015 - 2016
4,Softail Slim,2015 - 2016
5,Breakout,2015 - 2016
6,Softail Slim S,2015 - 2016
7,Fat Boy S,2015 - 2016
8,Fat Boy Lo,2014 - 2015
9,Fat Boy,2014 - 2015
10,Fat Boy Special,2014 - 2015
11,Softail Deluxe,2014 - 2015
12,Heritage Softail Classic,2014 - 2015
13,Softail Slim,2014 - 2015
14,Breakout,2014 - 2015
15,Fat Boy Lo,2013 - 2014
16,Fat Boy,2013 - 2014
17,Fat Boy Special,2013 - 2014
18,Softail Deluxe,2013 - 2014
19,Heritage Softail Classic,2013 - 2014
20,Softail Slim,2013 - 2014
21,Breakout,2013 - 2014
22,Breakout,2012 - 2013
23,Heritage Softail Classic,2012 - 2013
24,Fat Boy,2012 - 2013
25,Fat Boy Lo,2012 - 2013
26,Fat Boy Special,2012 - 2013
27,Softail Deluxe,2012 - 2013
28,Softail Slim,2012 - 2013
29,Blackline,2012 - 2013
30,Heritage Softail Classic 110th Anniversary,2012 - 2013
31,Fat Boy Lo 110th Anniversary ,2012 - 2013
32,Fat Boy Special 110th Anniversary,2012 - 2013
33,Heritage Softail Classic Peace Officer,2012 - 2013
34,Heritage Softail Classic Firefighter,2012 - 2013
35,Heritage Softail Classic Shrine,2012 - 2013
36,Softail Slim,2011 - 2012
37,Blackline,2011 - 2012
38,Fat Boy Lo,2011 - 2012
39,Fat Boy,2011 - 2012
40,Heritage Softail Classic,2011 - 2012
41,Softail Deluxe,2011 - 2012
42,Blackline,2010 - 2011
43,Fat Boy Lo,2010 - 2011
44,Fat Boy,2010 - 2011
45,Heritage Softail Classic,2010 - 2011
46,Softail Deluxe,2010 - 2011
47,Cross Bones,2010 - 2011
48,Rocker C,2010 - 2011
49,Heritage Softail Classic,2009 - 2010
50,Fat Boy,2009 - 2010
51,Fat Boy Lo,2009 - 2010
52,Softail Deluxe,2009 - 2010
53,Cross Bones,2009 - 2010
54,Rocker C,2009 - 2010
55,Softail Custom,2009 - 2010
56,Rocker,2008 - 2009
57,Rocker C,2008 - 2009
58,Heritage Softail Classic,2008 - 2009
59,Fat Boy,2008 - 2009
60,Softail Deluxe,2008 - 2009
61,Cross Bones,2008 - 2009
62,Night Train,2008 - 2009
63,Softail Custom,2008 - 2009
64,Softail Custom,2007 - 2008
