,model_name,year
0,1200 Sportster Custom,3000 - 2006
1,SUPERLOW,2017 - Present
2,IRON 883,2017 - Present
3,1200 CUSTOM,2017 - Present
4,FORTY-EIGHT,2017 - Present
5,SUPERLOW 1200T,2017 - Present
6,ROADSTER,2017 - Present
7,STREET BOB,2017 - Present
8,LOW RIDER,2017 - Present
9,FAT BOB,2017 - Present
10,WIDE GLIDE,2017 - Present
11,LOW RIDER S,2017 - Present
12,SOFTAIL SLIM,2017 - Present
13,FAT BOY,2017 - Present
14,HERITAGE SOFTAIL CLASSIC,2017 - Present
15,SOFTAIL DELUXE,2017 - Present
16,BREAKOUT,2017 - Present
17,SOFTAIL SLIM S,2017 - Present
18,FAT BOY S,2017 - Present
19,V-ROD MUSCLE,2017 - Present
20,NIGHT ROD SPECIAL,2017 - Present
21,ROAD KING,2017 - Present
22,STREET GLIDE SPECIAL,2017 - Present
23,ROAD GLIDE ULTRA,2017 - Present
24,ULTRA LIMITED,2017 - Present
25,CVO Pro Street Breakout,2017 - Present
26,Superlow,2015 - 2016
27,Iron 883,2015 - 2016
28,1200 Custom,2015 - 2016
29,Superlow 1200T,2015 - 2016
30,Forty-Eight,2015 - 2016
31,Seventy-two,2015 - 2016
32,883 Roadster,2014 - 2015
33,Superlow,2014 - 2015
34,Iron 883,2014 - 2015
35,1200 Custom,2014 - 2015
36,Superlow 1200T,2014 - 2015
37,Forty-eight,2014 - 2015
38,Seventy-two,2014 - 2015
39,883 Roadster,2013 - 2014
40,Superlow,2013 - 2014
41,Iron 883,2013 - 2014
42,1200 Custom,2013 - 2014
43,Superlow 1200T,2013 - 2014
44,Forty-eight,2013 - 2014
45,Seventy-two,2013 - 2014
46,Superlow,2012 - 2013
47,Iron 883,2012 - 2013
48,1200 Custom,2012 - 2013
49,Forty-Eight,2012 - 2013
50,Seventy-two,2012 - 2013
51,1200 Custom 110th Anniversary ,2012 - 2013
52,Sportster Police,2012 - 2013
53,Superlow,2011 - 2012
54,Iron 883,2011 - 2012
55,Seventy-two,2011 - 2012
56,Forty-Eight,2011 - 2012
57,1200 Custom,2011 - 2012
58,Nightster,2011 - 2012
59,XR1200X,2011 - 2012
60,Superlow,2010 - 2011
61,Iron 883,2010 - 2011
62,1200 Low,2010 - 2011
63,Nightster,2010 - 2011
64,Forty-Eight,2010 - 2011
65,XR1200X,2010 - 2011
66,Custom H-D1,2010 - 2011
67,Superlow,2009 - 2010
68,XR1200,2009 - 2010
69,1200 Custom,2009 - 2010
70,1200 Low,2009 - 2010
71,Nightster,2009 - 2010
72,Iron 883,2009 - 2010
73,883 Low,2009 - 2010
74,Forty-Eight,2009 - 2010
75,883 Sportster Custom,2008 - 2009
76,Superlow,2008 - 2009
77,XR1200,2008 - 2009
78,1200 Custom,2008 - 2009
79,1200 Low,2008 - 2009
80,Nightster,2008 - 2009
81,883 Custom,2008 - 2009
82,883 Low,2008 - 2009
83,Iron 883,2008 - 2009
84,Sportster 883,2007 - 2008
85,883 Custom,2007 - 2008
86,883 Low,2007 - 2008
87,1200 Low,2007 - 2008
88,1200 Roadster,2007 - 2008
89,1200 Nightster,2007 - 2008
90,1200 Custom,2007 - 2008
91,1200 Custom 105th Anniversary Edition,2007 - 2008
92,883 Sportster Custom,2007 - 2008
93,Superlow,2007 - 2008
94,883 Sportster Custom,2006 - 2007
95,Superlow,2006 - 2007
96,1200 Nightster,2006 - 2007
97,50th Anniversary Sportster Limited Edition,2006 - 2007
98,883 Low,2006 - 2007
99,Sportster 883,2006 - 2007
100,Sportster 883R,2006 - 2007
