,model_name,year
0,Street Glide Special,2015 - 2016
1,Street Glide,2014 - 2015
2,Street Glide Special,2014 - 2015
3,Street Glide,2013 - 2014
4,Street Glide,2012 - 2013
5,Street Glide,2011 - 2012
6,Street Glide,2010 - 2011
7,Street Glide,2009 - 2010
8,Street Glide,2008 - 2009
9,Street Glide,2007 - 2008
10,Street Glide,2006 - 2007
11,Street Glide,2005 - 2006
12,Street Glide,2004 - 2005
13,Street Glide,2003 - 2004
14,Street Glide,2002 - 2003
15,Street Glide,2001 - 2002
16,Street Glide,2000 - 2001
17,Street Glide,1999 - 2000
18,Street Glide,1998 - 1999
19,Street Glide,1997 - 1998
20,Street Glide,1996 - 1997
21,Street Glide,1995 - 1996
22,Street Glide,1994 - 1995
23,Street Glide,1993 - 1994
24,Street Glide,1992 - 1993
25,Street Glide,1991 - 1992
26,Street Glide,1990 - 1991
27,Street Glide,1989 - 1990
28,Street Glide,1988 - 1989
29,Street Glide,1987 - 1988
30,Street Glide,1986 - 1987
31,Street Glide,1985 - 1986
32,Street Glide,1984 - 1985
