,model_name,year
0,ULTRA LIMITED LOW,2017 - Present
1,ULTRA LIMITED,2017 - Present
2,Ultra Limited,2015 - 2016
3,Ultra Limited Low,2015 - 2016
4,Ultra Limited,2014 - 2015
5,Ultra Limited Low,2014 - 2015
6,Ultra Limited,2013 - 2014
7,Ultra Classic Electra Glide,2011 - 2012
8,Ultra Classic Electra Glide,2010 - 2011
9,Ultra Classic Electra Glide,2009 - 2010
10,Ultra Classic Electra Glide,2008 - 2009
11,Ultra Classic Electra Glide,2007 - 2008
12,Ultra Classic Electra Glide 105th Anniversary,2007 - 2008
13,Ultra Classic Electra Glide,2006 - 2007
14,Ultra Classic Electra Glide,2005 - 2006
15,Ultra Classic Electra Glide,2004 - 2005
16,Ultra Classic Electra Glide,2003 - 2004
17,Ultra Classic Electra Glide,2002 - 2003
18,Ultra Classic Electra Glide,2001 - 2002
19,Ultra Classic Electra Glide,2000 - 2001
20,Ultra Classic Electra Glide,1999 - 2000
21,Ultra Classic Electra Glide,1997 - 1998
22,Ultra Classic Electra Glide,1994 - 1996
