,model_name,year
0,Night Rod Special,2015 - 2016
1,V-rod Muscle,2015 - 2016
2,Night Rod Special,2014 - 2015
3,V-rod Muscle,2014 - 2015
4,Night Rod Special,2013 - 2014
5,V-rod Muscle,2013 - 2014
6,Night Rod Special,2012 - 2013
7,V-rod Muscle,2012 - 2013
8,V-Rod 10th Anniversary Edition,2011 - 2012
9,Night Rod Special,2011 - 2012
10,V-rod Muscle,2011 - 2012
11,Night Rod Special,2010 - 2011
12,V-rod Muscle,2010 - 2011
13,V-rod,2009 - 2010
14,Night Rod Special,2009 - 2010
15,V-rod Muscle,2009 - 2010
16,V-rod,2008 - 2009
17,Night Rod Special,2008 - 2009
18,V-rod Muscle,2008 - 2009
19,Night Rod Special,2007 - 2008
20,V-rod,2007 - 2008
21,V-rod 105th Anniversary,2007 - 2008
22,Night Rod,2007 - 2008
23,VRSCX,2006 - 2007
24,Night Rod Special,2006 - 2007
25,Night Rod,2006 - 2007
26,Street Rod,2006 - 2007
27,V-rod,2006 - 2007
28,Night Rod,2005 - 2006
29,V-rod,2005 - 2006
30,Street Rod,2005 - 2006
31,V-Rod,2004 - 2005
32,VRSCA V-rod,2004 - 2005
33,VRSCB V-Rod,2004 - 2005
34,V-Rod,2003 - 2004
35,VRSCA V-Rod,2003 - 2004
36,VRSCB V-Rod,2003 - 2004
37,V-Rod,2002 - 2003
38,V-Rod,2001 - 2002
